YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2017,GU,Guam,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,30,,,2.3,25.4,34.6,692,Male,All Races,All Ages,All Grades,"(13.444304, 144.793731)",BEH,100BEH,110CSA,2GEN,8AGE,6RAC,6EDU,BRF21,21
2012,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,21.6,,,0.8,20,23.2,5165,Female,All Races,All Ages,All Grades,"(39.766910452000445, -86.14996019399968)",BEH,100BEH,110CSA,3GEN,8AGE,6RAC,6EDU,BRF21,21
2013,ME,Maine,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,29.2,,,2.4,24.5,33.9,675,Female,All Races,All Ages,All Grades,"(45.254228894000505, -68.98503133599962)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2017,WA,Washington,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,14.8,,,0.6,13.6,16,5837,Male,All Races,All Ages,All Grades,"(47.52227862900048, -120.47001078999972)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2018,VA,Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,33.9,,,2.5,29,38.8,723,Male,All Races,All Ages,All Grades,"(37.54268067400045, -78.45789046299967)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF26,26
2012,CA,California,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,40.4,,,5.6,29.4,51.4,129,Male,All Races,All Ages,All Grades,"(37.63864012300047, -120.99999953799971)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF78,78
2019,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,1.4,,,0.6,0.3,2.5,1038,Female,All Races,18 to 44 Years,All Grades,"(34.865970280000454, -111.76381127699972)",BEH,150BEH,177SCU,3GEN,5AGE,6RAC,6EDU,BRF72,72
2016,KS,Kansas,Tobacco Use – Survey Data,E-Cigarette Use (Adults),User Status,BRFSS,Never,%,Percentage,79.1,,,0.7,77.7,80.5,6481,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,107BEH,176EUS,3GEN,8AGE,6RAC,6EDU,BRF65,65
2013,NV,Nevada,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,5.4,,,0.6,4.1,6.7,2154,Male,All Races,All Ages,All Grades,"(39.493240390000494, -117.07184056399967)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2019,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,18.3,,,0.9,16.6,20,4016,Female,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,110CSA,3GEN,8AGE,6RAC,6EDU,BRF21,21
2012,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,1.1,,,0.3,0.5,1.7,2961,Female,All Races,All Ages,All Grades,"(44.39319117400049, -89.81637074199966)",BEH,150BEH,177SCU,3GEN,8AGE,6RAC,6EDU,BRF68,68
2019,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,1.1,,,0.2,0.6,1.6,3457,Female,All Races,All Ages,All Grades,"(35.47203135600046, -97.52107021399968)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF80,80
2016,IA,Iowa,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF78,78
2012,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,19.2,,,0.8,17.7,20.7,5055,Male,All Races,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2011,AK,Alaska,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,29.7,,,3.7,22.5,36.9,351,Male,All Races,All Ages,All Grades,"(64.84507995700051, -147.72205903599973)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF26,26
